country,gdp.2005,gdp.2006,gdp.2007,gdp.2008,pop.2005,pop.2006,pop.2007,pop.2008,unemp.2005,unemp.2006,unemp.2007,unemp.2008
MT,7.916478855,8.06124884,8.38260639,8.66313138,0.403834,0.405308,0.406724,0.409379,6.922999859,6.797999859,6.472000122,5.977000237
MU,7.939339024,8.325631105,8.802441342,9.276625562,1.228254,1.233996,1.23963,1.244121,9.524000168,9.039999962,8.475000381,7.170000076
MV,1.748799599,2.205437293,2.375561799,2.600891738,0.319608,0.327487,0.335169,0.343452,2.874000072,3.029000044,3.016000032,3.130000114
MW,4.866809939,5.095550005,5.584722806,6.011380928,12.625952,12.973699,13.341806,13.72789,7.800000191,7.093999863,6.461999893,6.179999828
MX,982.7378287,1026.91266,1050.443806,1062.456519,106.005203,107.560153,109.170502,110.815271,3.558000088,3.565999985,3.628000021,3.874000072
MY,204.8633767,216.304683,229.9292519,241.0389043,25.690611,26.201961,26.72037,27.236006,3.529999971,3.319999933,3.230000019,3.339999914
MZ,7.723866243,8.473243992,9.128359829,9.793738055,20.493925,21.08011,21.673316,22.276596,3.414000034,3.290999889,3.194999933,3.239000082
MISSING,9.159481479,9.807347654,10.33439885,10.60824099,1.93832,1.971317,2.006514,2.043394,21.88699913,21.10499954,20.53899956,19.98900032
NC,MISSING,MISSING,MISSING,MISSING,0.23225,0.23575,0.23925,0.24275,15.56299973,14.69900036,13.88300037,13.41899967
NE,4.444395063,4.702169977,4.850127065,5.315142491,13.624467,14.143971,14.685399,15.250908,3.099999905,2.226999998,1.55400002,1.034000039
NG,258.0008632,273.6342398,291.6698292,311.3997554,138.865016,142.538308,146.339977,150.269623,3.869999886,3.665999889,3.438999891,3.424000025
NI,7.662881828,7.981069447,8.386173966,8.674287094,5.43869,5.513763,5.590055,5.667432,5.369999886,5.309999943,4.889999866,6.199999809
NL,790.4998008,817.858912,848.7154407,867.1353223,16.319868,16.346101,16.381696,16.445593,4.72300005,3.904999971,3.178999901,2.75
NO,408.8497367,418.6612751,431.1970481,433.2511846,4.623291,4.660677,4.709153,4.768212,4.381000042,3.398999929,2.493000031,2.549999952
NP,12.87756307,13.31084347,13.76495091,14.6052515,25.7445,26.066693,26.382581,26.666576,1.702000022,1.549000025,1.381999969,1.335999966
NR,MISSING,MISSING,0.029686608,0.039904528,0.009849,0.009828,0.009842,0.009891,MISSING,MISSING,MISSING,MISSING
NZ,137.947439,141.8706397,146.1453606,144.6709088,4.1339,4.1846,4.2238,4.2598,3.806999922,3.857000113,3.661000013,4.166999817
OM,44.27854356,46.65721717,48.73472042,52.73081925,2.511251,2.580758,2.657158,2.750963,4.650000095,4.393000126,4.152999878,4.142000198
PA,20.55698439,22.3356704,25.01237388,27.47750712,3.330217,3.391666,3.453675,3.516204,4.222000122,3.934999943,3.430000067,3.201999903
PE,105.7855544,113.750042,123.4397116,134.7055212,27.866145,28.102056,28.333052,28.562317,4.860000134,4.260000229,4.188000202,4.05700016
PF,MISSING,MISSING,MISSING,MISSING,0.25878,0.26101,0.262721,0.264061,12.07299995,11.91100025,11.73999977,11.72200012
PG,10.69284449,11.27132139,12.1521965,12.11617038,6.494903,6.646895,6.808514,6.976201,2.378000021,2.111000061,1.907999992,1.764000058
PH,156.8737765,165.0986065,176.0226237,183.3324152,86.32625,87.888675,89.405482,90.901965,3.795000076,4.052000046,3.434000015,3.720000029
PK,149.7867742,159.0399151,166.7260236,169.5627093,160.304008,164.022627,167.808105,171.648986,0.666000009,0.582000017,0.398000002,0.423000008
PL,379.7681823,403.2364939,431.6034889,449.9449474,38.165445,38.141267,38.12056,38.125759,17.74600029,13.84000015,9.602000237,7.118000031
PR,105.3421188,103.8574122,102.6497513,100.7567521,3.821362,3.805214,3.782995,3.760866,11.35000038,11.01000023,10.93000031,11.47999954
PS,6.983236154,6.710848186,7.153132893,7.587992823,3.320396,3.406334,3.494496,3.591977,23.51499939,23.74099922,21.71800041,26.61199951
PT,230.949201,234.702205,240.5852035,241.3532658,10.50333,10.522288,10.542964,10.558177,7.581999779,7.646999836,7.964000225,7.552000046
PW,0.207088039,0.203992144,0.206731709,0.195186188,0.019781,0.01954,0.019158,0.018704,MISSING,MISSING,MISSING,MISSING
PY,20.89129669,21.8955658,23.08266081,24.55051509,5.824096,5.913209,5.998427,6.081296,4.824999809,5.276000023,4.712999821,4.414999962
QA,53.35237095,67.3148175,79.42182955,93.45054919,0.865416,1.022711,1.218434,1.436665,1.205000043,0.870000005,0.519999981,0.310000002
RO,144.5792592,156.1872547,167.4855405,183.0742022,21.319685,21.19376,20.882982,20.537875,7.173999786,7.269000053,6.413000107,5.787000179
RS,36.10886427,37.95322846,40.39723706,42.68193426,7.440769,7.411569,7.381579,7.350222,20.85000038,20.85000038,18.05999947,13.70499992
RU,1281.522697,1386.608433,1504.469842,1582.701811,143.518523,143.049528,142.805088,142.74235,7.124000072,7.054999828,6.001999855,6.204999924
RW,3.871860926,4.287301523,4.614562792,5.129605979,8.840215,9.043337,9.273757,9.524534,0.949000001,0.860000014,0.750999987,0.699000001
SA,461.6017333,474.4730463,483.2371814,513.4384071,23.816183,24.49831,25.184597,25.888541,6.050000191,6.25,5.730000019,5.079999924
SB,0.544571143,0.582400594,0.625032325,0.669448811,0.469918,0.481078,0.492132,0.50336,2.335999966,2.075000048,1.853999972,1.786000013
SC,0.783031253,0.856684174,0.945962968,0.925654159,0.082858,0.0846,0.085033,0.086956,MISSING,MISSING,MISSING,MISSING
SD,46.43321902,51.10640119,56.99483476,61.44155087,30.949516,31.661823,32.360621,33.060837,16.05699921,15.26099968,14.89500046,14.80000019
SE,451.309723,472.0812016,488.2777596,487.0946954,9.029572,9.080505,9.148092,9.219637,7.486000061,7.065999985,6.160999775,6.235000134
SG,172.7578417,188.3150101,205.3050098,209.1405434,4.265762,4.401365,4.588599,4.839396,5.590000153,4.480000019,3.900000095,3.960000038
SI,43.89712435,46.41962736,49.65979275,51.40277263,2.000474,2.006868,2.018122,2.021316,6.506000042,5.949999809,4.81799984,4.370999813
SK,71.07295222,77.10930381,85.46180512,90.22620364,5.372807,5.373054,5.374622,5.379233,16.25600052,13.37300014,11.14299965,9.508000374
