country,gdp.2005,gdp.2006,gdp.2007,gdp.2008,pop.2005,pop.2006,pop.2007,pop.2008,unemp.2005,unemp.2006,unemp.2007,unemp.2008
GA,13.44104219,13.06380881,13.84869655,13.39052203,1.390549,1.430152,1.472575,1.51854,16.90999985,17.02700043,17.35400009,17.81800079
GB,2415.091934,2482.432536,2542.76938,2535.620292,60.401206,60.84682,61.322463,61.806995,4.75,5.349999905,5.262000084,5.614999771
GD,0.806847301,0.77463247,0.822066709,0.829856141,0.104661,0.104933,0.10519,0.105456,MISSING,MISSING,MISSING,MISSING
GE,9.479770278,10.37274293,11.67752536,11.95995475,3.902469,3.880347,3.860158,3.848449,13.81000042,13.56999969,13.27999973,17.87000084
GH,23.46962665,24.97166222,26.05713522,28.44131071,21.814642,22.379055,22.963946,23.563825,5.539000034,4.635000229,4.565000057,4.657000065
GI,MISSING,MISSING,MISSING,MISSING,0.033219,0.033417,0.033517,0.033559,MISSING,MISSING,MISSING,MISSING
GL,2.126686937,2.244839174,2.297647624,2.439323625,0.056935,0.056774,0.056555,0.056328,MISSING,MISSING,MISSING,MISSING
GM,1.25470072,1.247729842,1.285701374,1.366133637,1.543741,1.591445,1.639848,1.689285,9.663999557,9.227000237,9.093999863,9.119999886
GN,5.875302224,5.944639042,6.350507752,6.612974841,9.109581,9.307425,9.518162,9.738792,4.211999893,3.97300005,3.910000086,3.697999954
GQ,12.07288026,13.00308574,14.99023212,17.65835989,0.749535,0.784496,0.821687,0.86084,8.444999695,8.156999588,7.822000027,7.743000031
GR,304.3322335,321.5344111,332.060634,330.9476578,10.987314,11.020362,11.048473,11.077841,9.994000435,9.008000374,8.395999908,7.760000229
GT,34.55067341,36.40942252,38.70469206,39.97462391,13.096028,13.397021,13.700327,14.006428,2.993999958,2.885999918,2.796000004,2.84100008
GU,4.845859455,4.660328826,4.69843782,4.77967015,0.158402,0.158648,0.158847,0.159036,7,7.400000095,8.300000191,8.347999573
GW,0.720130607,0.736761001,0.760801184,0.785173962,1.34493,1.377581,1.411543,1.446936,4.479000092,4.230999947,3.953000069,3.858999968
GY,1.837309936,1.931556758,2.067145098,2.108005261,0.746163,0.746343,0.746474,0.746817,11.08699989,10.69999981,10.47599983,10.47399998
HK,188.6493916,201.9162819,214.96962,219.5439774,6.8132,6.8571,6.9163,6.9578,5.579999924,4.769999981,4.010000229,3.559999943
HN,13.268416,14.13978519,15.01480136,15.65016771,7.458985,7.634298,7.808518,7.980955,4.90899992,3.575000048,3.210999966,3.155999899
HR,58.27026029,61.18438799,64.40659129,65.53984571,4.310145,4.311159,4.310217,4.309705,12.59799957,11.13000011,9.909000397,8.529999733
HT,6.22330563,6.363281554,6.576023789,6.631521785,9.195288,9.344785,9.495328,9.64658,14.87699986,15.81200027,16.79999924,15.93900013
HU,132.487848,137.8284508,138.1622406,139.6244001,10.087065,10.07137,10.05578,10.038188,7.188000202,7.493999958,7.406000137,7.816999912
ID,571.2049544,602.6266636,640.8634593,679.4030882,226.28947,229.318262,232.374245,235.469762,7.945000172,7.551000118,8.06000042,7.209000111
IE,217.4646807,228.4920994,240.6576294,229.8752451,4.159914,4.273591,4.398942,4.489544,4.342000008,4.414999962,4.980000019,6.774000168
IL,190.9091849,201.5322026,213.1676292,219.5551611,6.9301,7.0537,7.1801,7.3088,11.34200001,10.70699978,9.37899971,7.703999996
