"geoAreaCode","geoAreaName","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal14","goal15","goal16","goal17"
"586","Pakistan","37.72","65.63","78.59","41.33","22.22","70.96","100","64.58","79.69","53.33","22.22","35.45","5.33","40","47.38","16.67","53.05"
"585","Palau","12.5","62.5","38.97","10","8.33","50.17","100","18.75","27.6","28.33","8.33","25.45","3.33","43.33","43.51","10.83","36"
"591","Panama","39.51","65.63","73.85","33.33","23.61","54.29","100","56.25","73.44","55.24","22.78","35.99","6","43.33","49.76","19.31","47.77"
"598","Papua New Guinea","31.43","65.63","63.21","10","8.33","62.63","100","33.33","48.44","43.33","15.56","16.36","12","40","45.3","16.67","52.07"
"600","Paraguay","41.99","65.63","71.54","17","22.22","71.63","100","64.58","79.69","56.67","14.26","35.45","6","37.5","47.38","21.25","59.86"
"604","Peru","53.66","70.83","83.08","61.81","38.89","78.25","100","68.75","73.44","66.67","35","29.17","16.67","53.33","47.38","38.56","60.19"
"608","Philippines","43.93","70.83","75.38","40.57","26.39","75.13","100","64.58","73.44","46.67","30.56","29.04","16.67","53.33","49.76","21.94","59.86"
"616","Poland","44.88","61.46","78.53","36.19","15.28","62.81","60","43.75","83.93","57.41","25","27.17","15","53.33","49.76","16.97","43.38"
"620","Portugal","31.55","65.63","73.72","36.93","13.89","55.67","60","64.58","83.93","59.52","19.44","26.9","8.33","53.33","49.76","5.15","42.65"
"634","Qatar","25.6","59.38","69.1","45.33","22.22","51.21","80","37.5","67.19","36.67","13.89","38.53","10","43.33","32.8","14.58","35.35"
"410","Republic of Korea","36.63","71.88","71.28","31.9","22.22","53.96","80","37.5","73.44","55","21.85","35.99","21","53.33","47.38","14.58","43.19"
"498","Republic of Moldova","32.14","65.63","73.72","36.19","12.5","60.43","60","58.33","76.79","51.85","16.67","19.95","0","37.5","47.38","15.3","55.88"
"642","Romania","50.48","65.63","70.83","25.93","13.89","62.81","60","52.08","83.93","51.85","34.07","18.07","21","43.33","39.05","12.58","49.63"
"643","Russian Federation","59.76","62.5","66.99","38.52","25","61.02","60","62.5","76.79","55.56","21.48","27.7","21","53.33","41.43","11.36","56.25"
"646","Rwanda","27.38","70.83","69.23","36.33","13.89","70.06","100","58.33","53.13","53.33","16.67","26.36","0","37.5","49.76","14.44","59.86"
"659","Saint Kitts and Nevis","7.14","56.25","24.23","16.33","8.33","34.54","80","25","23.44","35","5.56","21.82","0","43.33","32.8","12.5","47.11"
"662","Saint Lucia","19.05","65.63","56.28","36.33","11.11","51.21","100","47.92","50.52","43.33","16.67","13.69","0","43.33","47.68","18.75","58.55"
"670","Saint Vincent and the Grenadines","16.67","62.5","64.62","36.33","19.44","43.92","100","29.17","35.94","43.33","5.56","12.73","0","43.33","45.3","16.67","58.55"
"882","Samoa","14.88","65.63","60.13","36.33","8.33","61.63","100","33.33","35.94","46.67","13.89","29.17","10","43.33","45.3","16.67","58.22"
"674","San Marino","14.29","62.5","19.23","29.26","8.33","46.24","20","18.75","32.14","26.19","5.56","0.91","0","30","30.71","1.52","18.57"
"678","Sao Tome and Principe","17.86","65.63","63.21","22.1","8.33","66.88","100","41.67","35.94","33.33","16.67","26.36","0","40","49.76","16.67","57.9"
"682","Saudi Arabia","12.5","59.38","70.64","45.33","19.44","38.71","80","43.75","54.69","50","13.89","39.33","10","40","39.05","13.89","42.86"
"686","Senegal","25","70.83","80.13","38.33","19.44","67.31","100","62.5","60.94","43.33","16.67","27.43","0","43.33","47.38","16.67","58.88"
"688","Serbia","46.84","65.63","68.91","26.67","37.5","61.67","60","64.58","82.14","40.74","28.15","17.27","11.56","30","47.38","13.18","55.51"
"690","Seychelles","9.52","65.63","70","36.33","13.89","40.79","100","37.5","42.19","38.33","5.56","16.36","0","43.33","49.76","12.5","54.3"
"694","Sierra Leone","23.81","70.83","80.13","36.33","8.33","68.88","100","37.5","35.94","36.67","16.67","26.36","0","40","47.38","16.67","50.54"
"702","Singapore","9.52","59.38","73.21","36.9","22.22","54.33","80","39.58","73.44","45.24","5.56","30.78","0","36.67","32.8","16.25","42.54"
"703","Slovakia","34.17","62.5","70.83","37.78","15.28","62.81","60","62.5","82.14","53.7","8.33","27.17","8.33","30","49.76","13.18","42.65"
"705","Slovenia","46.04","62.5","69.87","36.93","36.11","61.67","60","60.42","83.93","53.7","31.67","27.17","20.33","36.67","49.76","12.58","42.65"
"90","Solomon Islands","18.45","65.63","61.67","30.62","8.33","52.21","100","33.33","35.94","43.33","8.33","15.45","3.33","40","45.3","13.61","58.61"
