"geoAreaCode","geoAreaName","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal14","goal15","goal16","goal17"
"300","Greece","19.29","65.63","76.6","26.67","25","62.81","60","64.58","83.93","53.7","16.67","26.9","5","43.33","47.38","8.64","42.65"
"308","Grenada","9.52","62.5","56.28","33.48","19.44","59.54","100","33.33","35.94","38.33","5.56","23.64","0","43.33","47.68","14.58","47.11"
"320","Guatemala","44.81","65.63","63.85","26.33","26.39","64.71","100","64.58","79.69","46.67","35.37","37.59","16.67","43.33","47.38","20.42","59.86"
"324","Guinea","23.81","70.83","68.59","27.67","8.33","58.46","100","41.67","35.94","43.33","16.67","26.36","0","40","47.38","17.22","53.51"
"624","Guinea-Bissau","20.7","65.63","60.9","10","8.33","64.75","100","37.5","35.94","33.33","21.67","17.27","4.67","40","43.51","13.89","52.4"
"328","Guyana","23.81","65.63","67.69","10","8.33","57.46","100","33.33","35.94","36.67","16.67","26.36","0","40","41.13","23.47","51.88"
"332","Haiti","26.79","65.63","63.21","10","8.33","58.46","100","29.17","60.94","36.67","19.44","23.64","3.33","40","47.38","18.75","52.4"
"340","Honduras","44.05","65.63","71.54","36.19","13.89","75.13","100","64.58","79.69","56.67","22.22","26.36","6.67","40","47.38","22.36","59.53"
"348","Hungary","31.19","62.5","71.79","36.93","15.28","62.81","60","64.58","82.14","55.82","16.67","27.17","5","30","41.43","13.18","43.01"
"352","Iceland","28.81","62.5","71.79","14.81","15.28","62.81","60","56.25","83.93","42.59","5.56","17.17","5","50","47.38","13.23","49.63"
"356","India","31.67","70.83","69.36","30.67","25","65.75","100","56.25","85.94","53.33","28.89","36.52","14.67","43.33","49.76","18.75","59.86"
"360","Indonesia","44.3","78.13","81.54","39.71","23.61","52.21","100","75","79.69","46.67","32.04","35.72","16.67","43.33","47.38","16.67","59.26"
"364","Iran (Islamic Republic of)","36.9","65.63","74.74","44.67","25","60.54","100","39.58","79.69","43.33","16.67","35.45","0","50","47.38","9.72","52.34"
"368","Iraq","18.81","65.63","65.51","20","31.94","65.38","100","43.75","73.44","43.33","20","35.88","4","36.67","49.76","13.89","48.09"
"372","Ireland","39.78","62.5","75.64","26.67","26.39","62.81","60","43.75","83.93","53.7","16.11","26.9","15","43.33","47.38","8.64","42.65"
"376","Israel","17.86","75","67.18","25.08","26.39","55.67","60","58.33","76.79","50","5.56","25.99","5","43.33","39.05","14.85","43.01"
"380","Italy","28.69","62.5","77.56","33.76","26.39","55.67","60","58.33","83.93","61.11","7.22","26.26","7","53.33","47.38","13.18","42.65"
"388","Jamaica","26.19","65.63","73.85","47","9.72","56.42","100","50","67.19","36.67","16.67","26.63","0","43.33","49.76","20.83","59.53"
"392","Japan","32.38","65.63","74.87","11.85","23.61","66.81","60","64.58","76.79","33.33","23.7","26.9","21","63.33","47.38","8.03","48.53"
"400","Jordan","36.63","65.63","56.28","41.14","22.22","64.33","100","60.42","73.44","53.33","33.33","36.26","16","30","47.38","19.31","59.86"
